tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7048	0	live	TGFBR2	AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII	transforming growth factor beta receptor 2	TGF-beta receptor type-2|TGF-beta receptor type IIB|TGF-beta type II receptor|tbetaR-II|transforming growth factor beta receptor II|transforming growth factor beta receptor type IIC|transforming growth factor, beta receptor II (70/80kDa)|transforming growth factor, beta receptor II alpha|transforming growth factor, beta receptor II beta|transforming growth factor, beta receptor II delta|transforming growth factor, beta receptor II epsilon|transforming growth factor, beta receptor II gamma	3p24.1	3	NC_000003.12	30606472	30694142	plus	11	190182	
9606	Homo sapiens	5562	0	live	PRKAA1	AMPK, AMPK alpha 1, AMPKa1	protein kinase AMP-activated catalytic subunit alpha 1	5'-AMP-activated protein kinase catalytic subunit alpha-1|5'-AMP-activated protein kinase, catalytic alpha-1 chain|ACACA kinase|AMP -activate kinase alpha 1 subunit|AMP-activated protein kinase, catalytic, alpha-1|AMPK subunit alpha-1|AMPK, alpha, 1|HMGCR kinase|acetyl-CoA carboxylase kinase|hydroxymethylglutaryl-CoA reductase kinase|protein kinase, AMP-activated, alpha 1 catalytic subunit|tau-protein kinase PRKAA1	5p13.1	5	NC_000005.10	40759379	40798195	minus	12	602739	
9606	Homo sapiens	7077	0	live	TIMP2	CSC-21K, DDC8	TIMP metallopeptidase inhibitor 2	metalloproteinase inhibitor 2|testicular secretory protein Li 57|tissue inhibitor of metalloproteinases 2	17q25.3	17	NC_000017.11	78852977	78925387	minus	5	188825	
9606	Homo sapiens	7273	0	live	TTN	CMD1G, CMH9, CMPD4, EOMFC, HMERF, LGMD2J, LGMDR10, MYLK5, SALMY, TMD	titin	titin|connectin|rhabdomyosarcoma antigen MU-RMS-40.14	2q31.2	2	NC_000002.12	178525989	178807423	minus	365	188840	
9606	Homo sapiens	5155	0	live	PDGFB	IBGC5, PDGF-2, PDGF2, SIS, SSV, c-sis	platelet derived growth factor subunit B	platelet-derived growth factor subunit B|PDGF subunit B|PDGF, B chain|becaplermin|epididymis secretory sperm binding protein|platelet-derived growth factor 2|platelet-derived growth factor B chain|platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)|platelet-derived growth factor, beta polypeptide (oncogene SIS)|proto-oncogene c-Sis	22q13.1	22	NC_000022.11	39223359	39244982	minus	8	190040	
9606	Homo sapiens	406989	0	live	MIR206	MIRN206, miRNA206, mir-206	microRNA 206	hsa-mir-206	6p12.2	6	NC_000006.12	52144349	52144434	plus	1	611599	
9606	Homo sapiens	89	0	live	ACTN3	ACTN3D	actinin alpha 3	alpha-actinin-3|F-actin cross-linking protein|alpha-actinin skeletal muscle	11q13.2	11	NC_000011.10	66546395	66563334	plus	22	102574	
9606	Homo sapiens	2660	0	live	MSTN	GDF8, MSLHP	myostatin	growth/differentiation factor 8	2q32.2	2	NC_000002.12	190055700	190062729	minus	3	601788	
9606	Homo sapiens	84062	0	live	DTNBP1	BLOC1S8, DBND, HPS7, My031, SDY	dystrobrevin binding protein 1	dysbindin|BLOC-1 subunit 8|Hermansky-Pudlak syndrome 7 protein|biogenesis of lysosomal organelles complex-1, subunit 8|biogenesis of lysosome-related organelles complex 1 subunit 8|dysbindin-1	6p22.3	6	NC_000006.12	15522803	15663058	minus	14	607145	
9606	Homo sapiens	190	0	live	NR0B1	AHC, AHCH, AHX, DAX-1, DAX1, DSS, GTD, HHG, NROB1, SRXY2	nuclear receptor subfamily 0 group B member 1	nuclear receptor subfamily 0 group B member 1|DSS-AHC critical region on the X chromosome protein 1|nuclear hormone receptor|nuclear receptor DAX-1|truncated nuclear receptor subfamily 0 group B member 1	Xp21.2	X	NC_000023.11	30304206	30309390	minus	2	300473	
9606	Homo sapiens	3708	0	live	ITPR1	ACV, CLA4, INSP3R1, IP3R, IP3R1, PPP1R94, SCA15, SCA16, SCA29	inositol 1,4,5-trisphosphate receptor type 1	inositol 1,4,5-trisphosphate receptor type 1|IP3 receptor|IP3R 1|inositol 1,4,5-triphosphate receptor, type 1|protein phosphatase 1, regulatory subunit 94|type 1 InsP3 receptor|type 1 inositol 1,4,5-trisphosphate receptor	3p26.1	3	NC_000003.12	4493348	4847506	plus	63	147265	
9606	Homo sapiens	8291	0	live	DYSF	FER1L1, LGMD2B, LGMDR2, MMD1	dysferlin	dysferlin|dystrophy-associated fer-1-like 1|fer-1-like family member 1|fer-1-like protein 1|limb girdle muscular dystrophy 2B (autosomal recessive)	2p13.2	2	NC_000002.12	71453154	71686763	plus	58	603009	
9606	Homo sapiens	823	0	live	CAPN1	CANP, CANP1, CANPL1, SPG76, muCANP, muCL	calpain 1	calpain-1 catalytic subunit|CANP 1|calcium-activated neutral proteinase 1|calpain 1, (mu/I) large subunit|calpain mu-type|calpain, large polypeptide L1|calpain-1 large subunit|cell proliferation-inducing gene 30 protein|cell proliferation-inducing protein 30|micromolar-calpain	11q13.1	11	NC_000011.10	65181373	65212006	plus	26	114220	
9606	Homo sapiens	7498	0	live	XDH	XAN1, XO, XOR	xanthine dehydrogenase	xanthine dehydrogenase/oxidase|xanthine oxidoreductase	2p23.1	2	NC_000002.12	31334320	31414777	minus	37	607633	
9606	Homo sapiens	29108	0	live	PYCARD	ASC, CARD5, TMS, TMS-1, TMS1	PYD and CARD domain containing	apoptosis-associated speck-like protein containing a CARD|caspase recruitment domain-containing protein 5|target of methylation-induced silencing 1	16p11.2	16	NC_000016.10	31201486	31202760	minus	3	606838	
9606	Homo sapiens	3339	0	live	HSPG2	HSPG, PLC, PRCAN, SJA, SJS, SJS1	heparan sulfate proteoglycan 2	basement membrane-specific heparan sulfate proteoglycan core protein|endorepellin (domain V region)|perlecan proteoglycan	1p36.12	1	NC_000001.11	21822244	21937310	minus	103	142461	
9606	Homo sapiens	5009	0	live	OTC	OCTDD, OTC	ornithine transcarbamylase	ornithine transcarbamylase, mitochondrial|OTCase|ornithine carbamoyltransferase, mitochondrial	Xp11.4	X	NC_000023.11	38352528	38421446	plus	10	300461	
9606	Homo sapiens	7013	0	live	TERF1	PIN2, TRBF1, TRF, TRF1, hTRF1-AS, t-TRF1	telomeric repeat binding factor 1	telomeric repeat-binding factor 1|NIMA-interacting protein 2|TTAGGG repeat-binding factor 1|telomeric protein Pin2/TRF1|telomeric repeat binding factor (NIMA-interacting) 1	8q21.11	8	NC_000008.11	73008856	73048123	plus	12	600951	
9606	Homo sapiens	406976	0	live	MIR199A1	MIR-199-s, MIRN199A1, mir-199a-1	microRNA 199a-1	hsa-mir-199a-1|miR-199a-3p	19p13.2	19	NC_000019.10	10817426	10817496	minus	1	610719	
9606	Homo sapiens	10725	0	live	NFAT5	NF-AT5, NFATL1, NFATZ, OREBP, TONEBP	nuclear factor of activated T cells 5	nuclear factor of activated T-cells 5|NFAT-like protein 1|T-cell transcription factor NFAT5|TonE-binding protein|glutamine rich protein H65|nuclear factor of activated T-cells 5, tonicity-responsive|osmotic response element-binding protein|tonicity-responsive enhancer-binding protein	16q22.1	16	NC_000016.10	69565952	69704654	plus	19	604708	
9606	Homo sapiens	824	0	live	CAPN2	CANP2, CANPL2, CANPml, mCANP	calpain 2	calpain-2 catalytic subunit|CANP 2|M-calpain|calcium-activated neutral proteinase 2|calpain 2, (m/II) large subunit|calpain 2, large [catalytic] subunit|calpain 2, large subunit|calpain M-type|calpain, large polypeptide L2|millimolar-calpain	1q41	1	NC_000001.11	223701597	223776018	plus	22	114230	
9606	Homo sapiens	7402	0	live	UTRN	DMDL, DRP, DRP1	utrophin	utrophin|dystrophin-related protein 1	6q24.2	6	NC_000006.12	144285261	144853034	plus	85	128240	
9606	Homo sapiens	1605	0	live	DAG1	156DAG, A3a, AGRNR, DAG, LGMDR16, MDDGA9, MDDGC7, MDDGC9	dystroglycan 1	dystroglycan|dystroglycan 1 (dystrophin-associated glycoprotein 1)	3p21.31	3	NC_000003.12	49468703	49535618	plus	9	128239	
9606	Homo sapiens	148738	0	live	HJV	HFE2, HFE2A, JH, RGMC	hemojuvelin BMP co-receptor	hemojuvelin|RGM domain family member C|haemojuvelin|hemochromatosis type 2 (juvenile)|hemochromatosis type 2 protein|hemojuvelin BMP coreceptor|repulsive guidance molecule c	1q21.1	1	NC_000001.11	146017470	146021735	minus	4	608374	
9606	Homo sapiens	51393	0	live	TRPV2	VRL, VRL-1, VRL1	transient receptor potential cation channel subfamily V member 2	transient receptor potential cation channel subfamily V member 2|OTRPC2|osm-9-like TRP channel 2|vanilloid receptor-like protein 1	17p11.2	17	NC_000017.11	16415543	16437003	plus	16	606676	
9606	Homo sapiens	406977	0	live	MIR199A2	MIR-199-s, MIRN199A2, mir-199a-2	microRNA 199a-2	hsa-mir-199a-2|miR-199a-3p	1q24.3	1	NC_000001.11	172144535	172144644	minus	1	610720	
9606	Homo sapiens	837	0	live	CASP4	ICE(rel)II, ICEREL-II, ICH-2, Mih1, Mih1/TX, TX	caspase 4	caspase-4|CASP-4|ICE and Ced-3 homolog 2|ICE(rel)-II|apoptotic cysteine protease Mih1/TX|caspase 4, apoptosis-related cysteine peptidase|caspase 4, apoptosis-related cysteine protease|caspase-4 isoform alpha|protease ICH-2|protease TX	11q22.3	11	NC_000011.10	104942866	104968596	minus	10	602664	
9606	Homo sapiens	2817	0	live	GPC1	glypican	glypican 1	glypican-1|epididymis secretory sperm binding protein|glypican proteoglycan 1	2q37.3	2	NC_000002.12	240435663	240468076	plus	10	600395	
9606	Homo sapiens	1908	0	live	EDN3	ET-3, ET3, HSCR4, PPET3, WS4B	endothelin 3	endothelin-3|preproendothelin-3	20q13.32	20	NC_000020.11	59300415	59325992	plus	6	131242	
9606	Homo sapiens	8425	0	live	LTBP4	ARCL1C, LTBP-4L, LTBP4S, LTBP4	latent transforming growth factor beta binding protein 4	latent-transforming growth factor beta-binding protein 4|latent transforming growth factor-beta binding protein 4L	19q13.2	19	NC_000019.10	40593166	40629820	plus	35	604710	
9606	Homo sapiens	22954	0	live	TRIM32	BBS11, HT2A, LGMD2H, LGMDR8, TATIP	tripartite motif containing 32	E3 ubiquitin-protein ligase TRIM32|72 kDa Tat-interacting protein|RING-type E3 ubiquitin transferase TRIM32|TAT-interactive protein, 72-KD|tripartite motif-containing protein 32|zinc-finger protein HT2A	9q33.1	9	NC_000009.12	116687305	116701299	plus	4	602290	
9606	Homo sapiens	3679	0	live	ITGA7		integrin subunit alpha 7	integrin alpha-7|integrin alpha 7 chain	12q13.2	12	NC_000012.12	55684568	55716037	minus	31	600536	
9606	Homo sapiens	6445	0	live	SGCG	35DAG, A4, DAGA4, DMDA, DMDA1, LGMD2C, LGMDR5, MAM, SCARMD2, SCG3, gamma-SG	sarcoglycan gamma	gamma-sarcoglycan|35 kDa dystrophin-associated glycoprotein|35kD dystrophin-associated glycoprotein|sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	13q12.12	13	NC_000013.11	23160508	23325162	plus	10	608896	
9606	Homo sapiens	1837	0	live	DTNA	D18S892E, DRP3, DTN, DTN-A, LVNC1	dystrobrevin alpha	dystrobrevin alpha|dystrophin-related protein 3	18q12.1	18	NC_000018.10	34493298	34891844	plus	30	601239	
9606	Homo sapiens	6640	0	live	SNTA1	LQT12, SNT1, TACIP1, dJ1187J4.5	syntrophin alpha 1	alpha-1-syntrophin|59 kDa dystrophin-associated protein A1 acidic component 1|acidic alpha 1 syntrophin|dystrophin-associated protein A1, 59kDa, acidic component|pro-TGF-alpha cytoplasmic domain-interacting protein 1|syntrophin-1	20q11.21	20	NC_000020.11	33407957	33443853	minus	9	601017	
9606	Homo sapiens	11141	0	live	IL1RAPL1	IL-1-RAPL-1, IL-1RAPL-1, IL1R8, IL1RAPL, IL1RAPL-1, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2	interleukin 1 receptor accessory protein like 1	interleukin-1 receptor accessory protein-like 1|X-linked interleukin-1 receptor accessory protein-like 1|interleukin 1 receptor-8|mental retardation, X-linked 10|oligophrenin-4|three immunoglobulin domain-containing IL-1 receptor-related 2	Xp21.3-p21.2	X	NC_000023.11	28587446	29956718	plus	13	300206	
9606	Homo sapiens	9672	0	live	SDC3	SDCN, SYND3	syndecan 3	syndecan-3|N-syndecan|syndecan neural type|syndecan proteoglycan 3	1p35.2	1	NC_000001.11	30869466	30909735	minus	8	186357	
9606	Homo sapiens	23336	0	live	SYNM	DMN, SYN	synemin	synemin|desmuslin|synemin alpha|synemin beta|synemin, intermediate filament protein	15q26.3	15	NC_000015.10	99105069	99136586	plus	6	606087	
9606	Homo sapiens	2710	0	live	GK	GK1D, GK	glycerol kinase	glycerol kinase|ATP:glycerol 3-phosphotransferase|glycerokinase	Xp21.2	X	NC_000023.11	30653348	30731462	plus	24	300474	
9606	Homo sapiens	6645	0	live	SNTB2	D16S2531E, EST25263, SNT2B2, SNT3, SNTL	syntrophin beta 2	beta-2-syntrophin|59 kDa dystrophin-associated protein A1 basic component 2|dystrophin-associated protein A1, 59kD, basic component 2|syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)|syntrophin-3	16q22.1	16	NC_000016.10	69187147	69309052	plus	7	600027	
9606	Homo sapiens	8082	0	live	SSPN	DAGA5, KRAG, NSPN, SPN1, SPN2	sarcospan	sarcospan|K-ras oncogene-associated protein|Kras oncogene-associated|kirsten-ras-associated protein|microspan|nanospan|sarcospan (Kras oncogene-associated gene)	12p12.1	12	NC_000012.12	26121951	26234777	plus	7	601599	
9606	Homo sapiens	6641	0	live	SNTB1	59-DAP, A1B, BSYN2, DAPA1B, SNT2, SNT2B1, TIP-43	syntrophin beta 1	beta-1-syntrophin|59 kDa dystrophin-associated protein A1 basic component 1|dystrophin-associated protein A1, 59kD, basic component 1|syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)|syntrophin-2|tax interaction protein 43	8q24.12	8	NC_000008.11	120535756	120812046	minus	8	600026	
9606	Homo sapiens	282808	0	live	RAB40AL	MRXSMP, RAR2, RLGP	RAB40A like	ras-related protein Rab-40A-like|RAB40A, member RAS oncogene family-like|Ras like GTPase|SOCS box containing protein RAR2|ras-like GTPase	Xq22.1	X	NC_000023.11	102937272	102938300	plus	1	300405	
9606	Homo sapiens	54221	0	live	SNTG2	G2SYN, SYN5	syntrophin gamma 2	gamma-2-syntrophin|syntrophin-5	2p25.3	2	NC_000002.12	950849	1367991	plus	30	608715	
9606	Homo sapiens	81493	0	live	SYNC	SYNC1OILIN, SYNC	syncoilin, intermediate filament protein	syncoilin|intermediate filament protein syncoilin|syncoilin intermediate filament 1|syncoilin-1	1p35.1	1	NC_000001.11	32679906	32703596	minus	8	611750	
9606	Homo sapiens	25891	0	live	PAMR1	DKFZP586H2123, FP938, RAMP	peptidase domain containing associated with muscle regeneration 1	inactive serine protease PAMR1|peptidase domain-containing protein associated with muscle regeneration 1|regeneration associated muscle protease|regeneration-associated muscle protease homolog	11p13	11	NC_000011.10	35431827	35530300	minus	15		
